n_devices,trials,auth_success_rate_pct,far_pct,frr_pct,avg_auth_latency_ms,avg_encrypt_time_ms,avg_decrypt_time_ms,avg_comm_overhead_bytes,peak_memory_bytes
5,30,100.0,0.0,0.0,0.018740766666998827,0.00939159999925702,0.006802466667465978,40,3471
10,30,100.0,0.0,0.0,0.014353966666173315,0.008634033333976276,0.006756866666535188,40,3408
25,30,100.0,0.0,0.0,0.01588749999991516,0.010716833332935494,0.006267766667159928,40,3343
50,30,100.0,0.0,0.0,0.01579176666695048,0.010103633334068718,0.005914666666484436,40,3248
